"coefs.pm","coefs.pm.low","coefs.pm.high","cause","combo","model"
"-5.14839937362721","-6.30251056686663","-3.98007250978212","cases","(3,1,1)","Constrained"
"0.763429487944611","-0.512672239127399","2.05589948678035","cases","(4,1,1)","Constrained"
"1.8235627932226","0.544771453961834","3.11861860119436","cases","(5,2,2)","Constrained"
"5.41496289818466","3.93798967900307","6.91292411123565","cases","(6,2,2)","Constrained"
"6.92407257059544","5.31559437943627","8.55711694406294","cases","(7,2,2)","Constrained"
"6.97394470256514","5.41484859001644","8.55610000194262","cases","(8,2,2)","Constrained"
"5.39843497870993","3.84175214789293","6.97845390878991","cases","(9,3,3)","Constrained"
"5.8224026226841","4.17684512990999","7.49395302644191","cases","(10,3,3)","Constrained"
"-4.87961912419397","-7.65609993229772","-2.01965856624083","deaths","(3,1,1)","Constrained"
"5.02503058729764","1.99056021174375","8.14978393061832","deaths","(4,1,1)","Constrained"
"4.55262190054138","1.57931662497253","7.61295812449083","deaths","(5,2,2)","Constrained"
"6.81751451225814","3.5207147156703","10.2193067147488","deaths","(6,2,2)","Constrained"
"6.25833111928156","2.72173194607221","9.916691612856","deaths","(7,2,2)","Constrained"
"5.91235053829542","2.49138620440765","9.44750004819781","deaths","(8,2,2)","Constrained"
"6.44134315650899","2.93611126358029","10.06593695725","deaths","(9,3,3)","Constrained"
"6.18021977192225","2.52522140745142","9.96551790908213","deaths","(10,3,3)","Constrained"
"-5.84347789693626","-7.01655452915623","-4.65560176166397","cases","(3,1,1)","Unconstrained"
"0.115954099978155","-1.18481901211434","1.43385019532309","cases","(4,1,1)","Unconstrained"
"1.20501879190509","-0.0980535996372156","2.52508782584309","cases","(5,2,2)","Unconstrained"
"4.80475599468753","3.29107011345402","6.34062428669993","cases","(6,2,2)","Unconstrained"
"6.27826827476103","4.62251895946799","7.96022137316272","cases","(7,2,2)","Unconstrained"
"6.39757317593117","4.79163167313321","8.02812588163944","cases","(8,2,2)","Unconstrained"
"4.86832252296063","3.26750413630132","6.49395626202438","cases","(9,3,3)","Unconstrained"
"5.24911410584885","3.55549127669679","6.97043569102114","cases","(10,3,3)","Unconstrained"
"-5.56963444850224","-8.39253494103484","-2.65974577017484","deaths","(3,1,1)","Unconstrained"
"4.495031968064","1.41206536799885","7.67172196309822","deaths","(4,1,1)","Unconstrained"
"3.95504879943114","0.933527139997903","7.06702200055835","deaths","(5,2,2)","Unconstrained"
"6.29043500592454","2.93954181056322","9.7504066468397","deaths","(6,2,2)","Unconstrained"
"5.73182737214264","2.14721658141823","9.44223145367822","deaths","(7,2,2)","Unconstrained"
"5.39410636038784","1.9211841981891","8.9853669076787","deaths","(8,2,2)","Unconstrained"
"5.93451457796583","2.37867467667816","9.61385673637414","deaths","(9,3,3)","Unconstrained"
"5.72514867743921","2.0302651239011","9.55383727850538","deaths","(10,3,3)","Unconstrained"
